,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
3562,2017,6,PARIS MONTPARNASSE,QUIMPER,264.734693878,196.0,0.0,30.0,17.866666666700002,2.80102040816,24.0,50.4583333333,7.36224489796,0.333333333333,0.222222222222,0.0,0.222222222222,0.111111111111,0.111111111111,24.0,50.4583333,16.0,8.0,2017-06-01,33.333333333300004,22.2222222222,0.0,22.2222222222,11.1111111111,11.1111111111
3563,2017,6,GENEVE,PARIS LYON,184.433789954,219.0,0.0,19.0,14.1052631579,1.87671232877,18.0,50.6111111111,4.114155251140001,0.363636363636,0.363636363636,0.0,0.0909090909091,0.0909090909091,0.0909090909091,15.0,58.29,8.0,6.0,2017-06-01,36.3636363636,36.3636363636,0.0,9.09090909091,9.09090909091,9.09090909091
3565,2017,3,REIMS,PARIS EST,46.7419354839,217.0,0.0,10.0,22.9,1.47004608295,14.0,18.0714285714,0.94930875576,0.111111111111,0.555555555556,0.0,0.222222222222,0.111111111111,0.0,7.0,28.8,3.0,0.0,2017-03-01,11.1111111111,55.5555555556,0.0,22.2222222222,11.1111111111,0.0
3568,2017,5,AIX EN PROVENCE TGV,PARIS LYON,188.224489796,392.0,0.0,61.0,11.7049180328,3.43112244898,43.0,36.4186046512,4.35459183673,0.365853658537,0.219512195122,0.243902439024,0.1463414634149999,0.0243902439024,0.0,31.0,45.7655914,16.0,7.0,2017-05-01,36.5853658537,21.9512195122,24.3902439024,14.6341463415,2.43902439024,0.0
3570,2017,5,PARIS LYON,MARSEILLE ST CHARLES,202.841607565,423.0,0.0,34.0,17.1470588235,1.4964539007100002,51.0,28.8039215686,5.0780141844,0.22,0.1,0.28,0.38,0.0,0.02,38.0,34.7754386,13.0,4.0,2017-05-01,22.0,10.0,28.000000000000004,38.0,0.0,2.0
3572,2016,12,PARIS LYON,AVIGNON TGV,160.078389831,473.0,1.0,20.0,12.9991666667,0.423128531073,47.0,33.2684397163,4.6355932203400005,0.35,0.125,0.3,0.2,0.0,0.025,33.0,41.9808080808,13.0,5.0,2016-12-01,35.0,12.5,30.0,20.0,0.0,2.5
3574,2016,12,PARIS MONTPARNASSE,RENNES,132.05973025,520.0,1.0,29.0,18.8695402299,1.05757867694,42.0,30.3928571429,3.45857418112,0.432432432432,0.189189189189,0.0810810810811,0.2432432432429999,0.0,0.0540540540541,28.0,39.125,13.0,5.0,2016-12-01,43.243243243200006,18.9189189189,8.10810810811,24.3243243243,0.0,5.40540540541
3575,2016,12,VANNES,PARIS MONTPARNASSE,207.182978723,237.0,2.0,14.0,18.25,1.59574468085,17.0,35.7696078431,3.47113475177,0.357142857143,0.428571428571,0.0,0.142857142857,0.0714285714286,0.0,12.0,45.1930555556,7.0,3.0,2016-12-01,35.7142857143,42.8571428571,0.0,14.2857142857,7.1428571428600005,0.0
3577,2016,9,LILLE,LYON PART DIEU,190.549657534,292.0,0.0,19.0,11.8947368421,1.29452054795,20.0,27.8,4.4897260274,0.166666666667,0.111111111111,0.111111111111,0.333333333333,0.222222222222,0.0555555555556,16.0,31.4375,3.0,2.0,2016-09-01,16.6666666667,11.1111111111,11.1111111111,33.333333333300004,22.2222222222,5.555555555560001
3579,2017,4,PARIS LYON,CHAMBERY CHALLES LES EAUX,180.05581395299998,215.0,0.0,15.0,26.2,2.23720930233,32.0,27.9375,4.75348837209,0.0625,0.125,0.5,0.3125,0.0,0.0,20.0,37.1675,7.0,3.0,2017-04-01,6.25,12.5,50.0,31.25,0.0,0.0
