,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
3,2019,7,ST MALO,PARIS MONTPARNASSE,172.421052632,114.0,0.0,101.0,1.95099009901,1.6856725146200002,15.0,20.618888888900003,3.81213450292,0.153846153846,0.153846153846,0.230769230769,0.3846153846149999,0.0,0.0769230769231,8.0,27.6208333333,2.0,0.0,2019-07-01,15.3846153846,15.3846153846,23.0769230769,38.4615384615,0.0,7.692307692310001
5,2019,7,PARIS MONTPARNASSE,TOULOUSE MATABIAU,266.59473684200003,190.0,0.0,123.0,4.76598915989,2.88771929825,28.0,47.343452381000006,8.42210526316,0.259259259259,0.3333333333329999,0.222222222222,0.185185185185,0.0,0.0,28.0,47.343452381000006,13.0,4.0,2019-07-01,25.925925925900003,33.333333333300004,22.2222222222,18.5185185185,0.0,0.0
6,2019,7,TOULOUSE MATABIAU,PARIS MONTPARNASSE,265.262886598,194.0,0.0,86.0,5.1242248062,1.71469072165,29.0,45.6109195402,8.4074742268,0.3793103448279999,0.275862068966,0.0689655172414,0.206896551724,0.0344827586207,0.0344827586207,29.0,45.6109195402,13.0,4.0,2019-07-01,37.9310344828,27.5862068966,6.896551724139999,20.6896551724,3.44827586207,3.44827586207
21,2019,7,PARIS LYON,GENEVE,183.5,183.0,0.0,79.0,12.972151898699998,5.339890710380001,34.0,49.7651960784,11.8550091075,0.121212121212,0.393939393939,0.181818181818,0.181818181818,0.0909090909091,0.030303030303,30.0,54.9277777778,13.0,4.0,2019-07-01,12.1212121212,39.3939393939,18.1818181818,18.1818181818,9.09090909091,3.0303030303000003
25,2018,3,PARIS NORD,DUNKERQUE,120.996309963,285.0,14.0,65.0,18.2061538462,4.23437884379,39.0,41.2820512821,6.697416974169999,0.307692307692,0.179487179487,0.153846153846,0.333333333333,0.025641025641,0.0,28.0,6.697416974169999,19.0,7.0,2018-03-01,30.7692307692,17.9487179487,15.3846153846,33.333333333300004,2.5641025641,0.0
27,2018,3,PARIS LYON,GENEVE,194.005,203.0,3.0,26.0,10.0326923077,1.00425,20.0,24.0458333333,0.9825,0.25,0.15,0.35,0.1,0.15,0.0,20.0,0.9825,4.0,0.0,2018-03-01,25.0,15.0,35.0,10.0,15.0,0.0
28,2018,8,LILLE,MARSEILLE ST CHARLES,309.389534884,173.0,1.0,46.0,6.39601449275,1.81976744186,37.0,37.4427927928,10.4421511628,0.259259259259,0.0740740740741,0.185185185185,0.296296296296,0.111111111111,0.0740740740741,37.0,10.4421511628,13.0,6.0,2018-08-01,25.925925925900003,7.407407407409999,18.5185185185,29.6296296296,11.1111111111,7.407407407409999
33,2018,7,PARIS EST,STRASBOURG,113.211180124,494.0,11.0,112.0,10.0936011905,1.41942719117,41.0,34.7711382114,2.9751552795,0.0975609756098,0.219512195122,0.0731707317073,0.390243902439,0.1463414634149999,0.0731707317073,36.0,2.9751552795,16.0,5.0,2018-07-01,9.75609756098,21.9512195122,7.31707317073,39.0243902439,14.6341463415,7.31707317073
34,2019,3,PARIS MONTPARNASSE,QUIMPER,220.426229508,245.0,1.0,17.0,15.0843137255,0.53900273224,15.0,42.1333333333,3.23360655738,0.533333333333,0.266666666667,0.0,0.2,0.0,0.0,15.0,3.23360655738,8.0,3.0,2019-03-01,53.3333333333,26.6666666667,0.0,20.0,0.0,0.0
35,2019,3,PARIS MONTPARNASSE,POITIERS,93.0759013283,531.0,4.0,69.0,18.0369565217,1.99278937381,64.0,28.0619791667,4.7163504111300005,0.291666666667,0.145833333333,0.1875,0.25,0.0416666666667,0.0833333333333,35.0,4.7163504111300005,19.0,7.0,2019-03-01,29.1666666667,14.5833333333,18.75,25.0,4.16666666667,8.333333333330001
37,2019,3,PARIS MONTPARNASSE,ST MALO,165.346534653,104.0,3.0,8.0,6.372916666669999,0.00907590759076,6.0,31.7555555556,0.374587458746,0.5,0.333333333333,0.0,0.166666666667,0.0,0.0,5.0,0.374587458746,1.0,1.0,2019-03-01,50.0,33.333333333300004,0.0,16.6666666667,0.0,0.0
38,2019,3,TOULON,PARIS LYON,250.535087719,231.0,3.0,77.0,11.2365800866,3.89269005848,33.0,34.9747474747,6.0427631578900005,0.212121212121,0.363636363636,0.272727272727,0.0909090909091,0.030303030303,0.030303030303,33.0,6.0427631578900005,13.0,3.0,2019-03-01,21.2121212121,36.3636363636,27.2727272727,9.09090909091,3.0303030303,3.0303030303
39,2019,3,PARIS LYON,AIX EN PROVENCE TGV,188.88337469,403.0,0.0,28.0,9.90357142857,0.3275020678249999,14.0,30.419047619,1.7201406120799998,0.166666666667,0.166666666667,0.333333333333,0.333333333333,0.0,0.0,13.0,1.7201406120799998,5.0,1.0,2019-03-01,16.6666666667,16.6666666667,33.333333333300004,33.333333333300004,0.0,0.0
40,2019,3,PARIS EST,METZ,84.8149350649,312.0,4.0,49.0,18.1340136054,2.76390692641,34.0,37.4857843137,3.73295454545,0.0322580645161,0.354838709677,0.1612903225809999,0.354838709677,0.0967741935483999,0.0,19.0,3.73295454545,13.0,6.0,2019-03-01,3.22580645161,35.4838709677,16.1290322581,35.4838709677,9.67741935484,0.0
41,2019,3,PARIS LYON,GRENOBLE,181.712,250.0,0.0,22.0,11.0446969697,0.5768666666669999,36.0,31.6666666667,5.726,0.277777777778,0.305555555556,0.222222222222,0.166666666667,0.0277777777778,0.0,23.0,5.726,14.0,3.0,2019-03-01,27.7777777778,30.5555555556,22.2222222222,16.6666666667,2.77777777778,0.0
43,2018,12,PARIS LYON,ANNECY,224.298245614,172.0,1.0,26.0,9.85512820513,1.18684210526,16.0,33.84375,5.8713450292400005,0.25,0.125,0.3125,0.3125,0.0,0.0,16.0,5.8713450292400005,7.0,2.0,2018-12-01,25.0,12.5,31.25,31.25,0.0,0.0
48,2019,1,TOURS,PARIS MONTPARNASSE,75.1263157895,191.0,1.0,16.0,3.59583333333,0.341929824561,33.0,25.701010101,5.35289473684,0.3,0.4,0.15,0.15,0.0,0.0,9.0,5.35289473684,8.0,5.0,2019-01-01,30.0,40.0,15.0,15.0,0.0,0.0
49,2019,1,NICE VILLE,PARIS LYON,357.34463276800005,181.0,4.0,32.0,7.303125,1.40922787194,36.0,38.4083333333,8.974011299439999,0.472222222222,0.277777777778,0.138888888889,0.0555555555556,0.0555555555556,0.0,36.0,8.974011299439999,16.0,3.0,2019-01-01,47.2222222222,27.7777777778,13.8888888889,5.555555555560001,5.555555555560001,0.0
50,2018,12,PARIS MONTPARNASSE,ANGERS SAINT LAUD,92.0509708738,412.0,0.0,61.0,7.55601092896,0.795266990291,68.0,20.1661764706,4.3859223301,0.269230769231,0.1730769230769999,0.403846153846,0.0961538461538,0.0576923076923,0.0,31.0,4.3859223301,7.0,3.0,2018-12-01,26.9230769231,17.307692307700002,40.3846153846,9.61538461538,5.76923076923,0.0
52,2018,10,PARIS LYON,BELLEGARDE (AIN),160.47029703,202.0,0.0,25.0,8.779333333330001,0.7781353135310001,34.0,24.3205882353,5.62037953795,0.147058823529,0.352941176471,0.323529411765,0.117647058824,0.0294117647059,0.0294117647059,24.0,5.62037953795,9.0,2.0,2018-10-01,14.705882352899998,35.29411764709999,32.3529411765,11.7647058824,2.9411764705900003,2.9411764705900003
53,2018,10,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.0612244898,196.0,0.0,20.0,10.9175,0.7573129251699999,29.0,17.4994252874,3.2125,0.125,0.125,0.25,0.4375,0.0625,0.0,11.0,3.2125,4.0,2.0,2018-10-01,12.5,12.5,25.0,43.75,6.25,0.0
54,2018,10,MULHOUSE VILLE,PARIS LYON,171.798076923,314.0,2.0,154.0,5.64329004329,2.7906517094,32.0,21.8234375,2.98269230769,0.142857142857,0.142857142857,0.392857142857,0.107142857143,0.107142857143,0.107142857143,15.0,2.98269230769,5.0,2.0,2018-10-01,14.2857142857,14.2857142857,39.2857142857,10.7142857143,10.7142857143,10.7142857143
55,2018,10,FRANCFORT,PARIS EST,226.405524345,178.0,0.0,64.0,5.68020833333,2.33146067416,26.0,30.3974358974,6.87799625468,0.36,0.08,0.12,0.2,0.12,0.12,26.0,6.87799625468,11.0,2.0,2018-10-01,36.0,8.0,12.0,20.0,12.0,12.0
57,2018,9,RENNES,LYON PART DIEU,234.62195122,82.0,0.0,32.0,5.515625,2.33272357724,15.0,35.2466666667,8.446544715449999,0.142857142857,0.142857142857,0.214285714286,0.428571428571,0.0,0.0714285714286,15.0,8.446544715449999,7.0,2.0,2018-09-01,14.2857142857,14.2857142857,21.4285714286,42.8571428571,0.0,7.1428571428600005
58,2018,9,VANNES,PARIS MONTPARNASSE,161.145522388,268.0,0.0,110.0,3.7,1.5186567164200002,33.0,22.1939393939,4.78016169154,0.25,0.21875,0.125,0.1875,0.125,0.09375,17.0,4.78016169154,5.0,1.0,2018-09-01,25.0,21.875,12.5,18.75,12.5,9.375
60,2018,9,BELLEGARDE (AIN),PARIS LYON,163.052631579,229.0,1.0,71.0,6.46807511737,2.07938596491,26.0,24.0807692308,2.95014619883,0.1363636363639999,0.272727272727,0.409090909091,0.0909090909091,0.0909090909091,0.0,18.0,2.95014619883,4.0,1.0,2018-09-01,13.6363636364,27.2727272727,40.9090909091,9.09090909091,9.09090909091,0.0
61,2018,9,PARIS MONTPARNASSE,LAVAL,89.4368932039,206.0,0.0,15.0,6.71222222222,0.149595469256,7.0,9.9119047619,2.42127831715,0.0,0.25,0.25,0.5,0.0,0.0,4.0,2.42127831715,0.0,0.0,2018-09-01,0.0,25.0,25.0,50.0,0.0,0.0
62,2019,2,PARIS MONTPARNASSE,ANGERS SAINT LAUD,91.155,402.0,2.0,31.0,9.30161290323,0.376333333333,44.0,18.5382575758,3.44658333333,0.147058823529,0.235294117647,0.352941176471,0.205882352941,0.0294117647059,0.0294117647059,16.0,3.44658333333,7.0,1.0,2019-02-01,14.705882352899998,23.5294117647,35.29411764709999,20.5882352941,2.9411764705900003,2.9411764705900003
63,2019,2,NANTES,PARIS MONTPARNASSE,131.888030888,520.0,2.0,130.0,6.993333333330001,1.60833333333,42.0,33.794047619000004,4.173423423419999,0.357142857143,0.190476190476,0.238095238095,0.190476190476,0.0,0.0238095238095,29.0,4.173423423419999,13.0,4.0,2019-02-01,35.7142857143,19.0476190476,23.8095238095,19.0476190476,0.0,2.38095238095
64,2019,2,PARIS EST,METZ,84.7122807018,291.0,6.0,58.0,15.4477011494,3.06321637427,53.0,22.5971698113,4.313567251459999,0.2083333333329999,0.2083333333329999,0.1875,0.25,0.104166666667,0.0416666666667,29.0,4.313567251459999,16.0,4.0,2019-02-01,20.8333333333,20.8333333333,18.75,25.0,10.4166666667,4.16666666667
67,2019,2,MARSEILLE ST CHARLES,LYON PART DIEU,105.495356037,331.0,8.0,69.0,15.7026570048,3.43101135191,42.0,39.1563492063,7.504282765739998,0.25,0.194444444444,0.361111111111,0.111111111111,0.0555555555556,0.0277777777778,26.0,7.504282765739998,13.0,8.0,2019-02-01,25.0,19.4444444444,36.1111111111,11.1111111111,5.555555555560001,2.77777777778
72,2019,4,MULHOUSE VILLE,PARIS LYON,170.25083612,299.0,0.0,146.0,5.09748858447,2.54119286511,19.0,28.1675438596,0.657134894091,0.0769230769231,0.153846153846,0.0769230769231,0.461538461538,0.230769230769,0.0,11.0,0.657134894091,5.0,2.0,2019-04-01,7.692307692310001,15.3846153846,7.692307692310001,46.1538461538,23.0769230769,0.0
73,2019,4,PARIS MONTPARNASSE,BREST,221.583011583,261.0,2.0,121.0,5.37024793388,2.4231016731,14.0,29.035714285700003,2.30501930502,0.230769230769,0.307692307692,0.153846153846,0.230769230769,0.0,0.0769230769231,14.0,2.30501930502,6.0,0.0,2019-04-01,23.0769230769,30.7692307692,15.3846153846,23.0769230769,0.0,7.692307692310001
77,2019,6,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.504587156,109.0,0.0,35.0,6.610952380950001,1.7077981651399998,12.0,33.6180555556,5.50596330275,0.272727272727,0.363636363636,0.0909090909091,0.272727272727,0.0,0.0,8.0,43.8583333333,4.0,2.0,2019-06-01,27.2727272727,36.3636363636,9.09090909091,27.2727272727,0.0,0.0
79,2019,5,ANNECY,PARIS LYON,230.604316547,142.0,3.0,6.0,7.07222222222,0.30479616307,11.0,42.4575757576,3.96762589928,0.4,0.2,0.2,0.1,0.1,0.0,11.0,42.4575757576,4.0,3.0,2019-05-01,40.0,20.0,20.0,10.0,10.0,0.0
80,2019,5,BARCELONA,PARIS LYON,328.803278689,61.0,0.0,21.0,4.11904761905,-0.21912568306,7.0,43.7023809524,10.7557377049,0.428571428571,0.142857142857,0.142857142857,0.285714285714,0.0,0.0,13.0,64.3015151515,5.0,3.0,2019-05-01,42.8571428571,14.2857142857,14.2857142857,28.5714285714,0.0,0.0
82,2019,2,PARIS LYON,BELLEGARDE (AIN),162.867647059,204.0,0.0,26.0,22.0467948718,2.51151960784,26.0,51.9538461538,9.18129084967,0.0,0.5,0.25,0.166666666667,0.0833333333333,0.0,20.0,9.18129084967,10.0,8.0,2019-02-01,0.0,50.0,25.0,16.6666666667,8.333333333330001,0.0
85,2019,1,ANGOULEME,PARIS MONTPARNASSE,125.0,310.0,12.0,153.0,7.662200435730001,3.96772930649,38.0,46.4096491228,7.350559284119999,0.378378378378,0.189189189189,0.216216216216,0.162162162162,0.027027027027,0.027027027027,26.0,7.350559284119999,17.0,6.0,2019-01-01,37.8378378378,18.9189189189,21.621621621600003,16.2162162162,2.7027027027,2.7027027027
86,2019,1,LYON PART DIEU,RENNES,238.510638298,94.0,0.0,56.0,9.18244047619,5.574290780140001,14.0,36.2178571429,6.87340425532,0.428571428571,0.0,0.0714285714286,0.428571428571,0.0,0.0714285714286,14.0,6.87340425532,8.0,2.0,2019-01-01,42.8571428571,0.0,7.1428571428600005,42.8571428571,0.0,7.1428571428600005
87,2019,1,PERPIGNAN,PARIS LYON,303.807692308,159.0,3.0,38.0,8.5600877193,2.16367521368,15.0,54.12,4.6641025641,0.666666666667,0.2,0.0666666666666999,0.0666666666666999,0.0,0.0,15.0,4.6641025641,10.0,5.0,2019-01-01,66.6666666667,20.0,6.666666666669999,6.666666666669999,0.0,0.0
89,2018,12,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.084745763,118.0,0.0,13.0,9.93333333333,0.623870056497,17.0,21.8049019608,4.7145480226,0.235294117647,0.0588235294118,0.352941176471,0.235294117647,0.117647058824,0.0,10.0,4.7145480226,4.0,1.0,2018-12-01,23.5294117647,5.8823529411800015,35.29411764709999,23.5294117647,11.7647058824,0.0
90,2018,12,NICE VILLE,PARIS LYON,354.344262295,186.0,3.0,39.0,9.10982905983,1.98661202186,27.0,36.362962963,6.10109289617,0.37037037037,0.148148148148,0.148148148148,0.148148148148,0.148148148148,0.037037037037,27.0,6.10109289617,12.0,3.0,2018-12-01,37.037037037,14.8148148148,14.8148148148,14.8148148148,14.8148148148,3.7037037037
91,2018,12,ZURICH,PARIS LYON,243.374266667,125.0,0.0,44.0,1.51287878788,1.0446666666700002,12.0,44.7236111111,5.29693333333,0.666666666667,0.0833333333333,0.0833333333333,0.0833333333333,0.0833333333333,0.0,12.0,5.29693333333,6.0,3.0,2018-12-01,66.6666666667,8.333333333330001,8.333333333330001,8.333333333330001,8.333333333330001,0.0
92,2019,4,PARIS LYON,GENEVE,179.535125448,187.0,1.0,20.0,10.0425,0.7862903225810001,11.0,20.3742424242,2.7033154121900003,0.1,0.0,0.5,0.2,0.2,0.0,5.0,2.7033154121900003,2.0,0.0,2019-04-01,10.0,0.0,50.0,20.0,20.0,0.0
93,2018,10,METZ,PARIS EST,85.87540983609999,307.0,2.0,142.0,6.98849765258,3.27284153005,71.0,19.1650234742,5.04808743169,0.1694915254239999,0.203389830508,0.372881355932,0.152542372881,0.0847457627118999,0.0169491525424,28.0,5.04808743169,11.0,5.0,2018-10-01,16.9491525424,20.3389830508,37.2881355932,15.2542372881,8.47457627119,1.69491525424
95,2018,10,NANTES,STRASBOURG,306.594594595,37.0,0.0,15.0,8.45222222222,3.48918918919,8.0,32.33125,8.77387387387,0.125,0.5,0.25,0.125,0.0,0.0,8.0,8.77387387387,4.0,1.0,2018-10-01,12.5,50.0,25.0,12.5,0.0,0.0
96,2018,10,ARRAS,PARIS NORD,51.668711656400006,330.0,4.0,123.0,7.0701897019,2.88185071575,71.0,19.0988262911,4.7927914110400005,0.1,0.316666666667,0.416666666667,0.133333333333,0.0333333333333,0.0,25.0,4.7927914110400005,6.0,5.0,2018-10-01,10.0,31.6666666667,41.6666666667,13.3333333333,3.3333333333299984,0.0
97,2018,10,DOUAI,PARIS NORD,78.7281553398,208.0,2.0,54.0,7.50432098765,2.13665048544,41.0,17.5329268293,4.19862459547,0.0294117647059,0.323529411765,0.441176470588,0.176470588235,0.0294117647059,0.0,14.0,4.19862459547,3.0,3.0,2018-10-01,2.9411764705900003,32.3529411765,44.1176470588,17.6470588235,2.9411764705900003,0.0
98,2018,10,PARIS LYON,GRENOBLE,184.548523207,239.0,2.0,42.0,17.361111111099998,2.77053445851,40.0,40.1,10.3670886076,0.205128205128,0.102564102564,0.230769230769,0.3846153846149999,0.0512820512821,0.025641025641,40.0,10.3670886076,21.0,6.0,2018-10-01,20.5128205128,10.2564102564,23.0769230769,38.4615384615,5.128205128209999,2.5641025641
100,2018,10,PARIS LYON,MULHOUSE VILLE,167.909722222,290.0,2.0,43.0,17.9484496124,2.41875,46.0,29.3757246377,5.55792824074,0.282608695652,0.0869565217391,0.195652173913,0.282608695652,0.108695652174,0.0434782608696,33.0,5.55792824074,15.0,5.0,2018-10-01,28.2608695652,8.69565217391,19.565217391300003,28.2608695652,10.8695652174,4.34782608696
104,2018,11,LAVAL,PARIS MONTPARNASSE,90.0,196.0,4.0,110.0,4.57984848485,2.66128472222,31.0,16.8021505376,5.27881944444,0.260869565217,0.130434782609,0.304347826087,0.130434782609,0.0869565217391,0.0869565217391,20.0,5.27881944444,5.0,2.0,2018-11-01,26.0869565217,13.0434782609,30.4347826087,13.0434782609,8.69565217391,8.69565217391
107,2018,11,GENEVE,PARIS LYON,194.014673046,212.0,3.0,139.0,3.5687050359699994,2.62926634769,22.0,53.5015151515,6.64226475279,0.4545454545449999,0.1363636363639999,0.1363636363639999,0.181818181818,0.0909090909091,0.0,22.0,6.64226475279,14.0,7.0,2018-11-01,45.4545454545,13.6363636364,13.6363636364,18.1818181818,9.09090909091,0.0
109,2018,9,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.025,200.0,0.0,17.0,13.3117647059,0.814083333333,24.0,19.3041666667,2.80716666667,0.166666666667,0.277777777778,0.166666666667,0.388888888889,0.0,0.0,13.0,2.80716666667,5.0,0.0,2018-09-01,16.6666666667,27.7777777778,16.6666666667,38.8888888889,0.0,0.0
119,2019,6,MARSEILLE ST CHARLES,MARNE LA VALLEE,210.926229508,258.0,14.0,109.0,5.5386850152900005,2.19112021858,51.0,34.6385620915,8.34931693989,0.24,0.18,0.24,0.28,0.04,0.02,51.0,34.6385620915,24.0,6.0,2019-06-01,24.0,18.0,24.0,28.000000000000004,4.0,2.0
123,2019,5,PARIS LYON,MACON LOCHE,96.4020100503,199.0,0.0,62.0,6.48440860215,1.64748743719,16.0,33.071875,3.03199329983,0.375,0.125,0.0625,0.375,0.0625,0.0,12.0,39.7444444444,7.0,1.0,2019-05-01,37.5,12.5,6.25,37.5,6.25,0.0
126,2019,4,MONTPELLIER,PARIS LYON,207.123778502,307.0,0.0,170.0,4.25647058824,2.42524429967,22.0,32.5371212121,1.32920738328,0.421052631579,0.210526315789,0.210526315789,0.0526315789474,0.105263157895,0.0,22.0,1.32920738328,7.0,2.0,2019-04-01,42.10526315790001,21.0526315789,21.0526315789,5.26315789474,10.5263157895,0.0
128,2018,9,BREST,PARIS MONTPARNASSE,230.771863118,265.0,2.0,9.0,27.0,0.923954372624,17.0,32.1333333333,4.77908745247,0.333333333333,0.333333333333,0.0666666666666999,0.133333333333,0.0666666666666999,0.0666666666666999,17.0,4.77908745247,5.0,1.0,2018-09-01,33.333333333300004,33.333333333300004,6.666666666669999,13.3333333333,6.666666666669999,6.666666666669999
129,2018,11,PARIS MONTPARNASSE,BREST,222.870848708,273.0,2.0,22.0,9.260606060610002,0.214145141451,31.0,45.1290322581,7.929889298889999,0.354838709677,0.258064516129,0.0967741935483999,0.0967741935483999,0.0967741935483999,0.0967741935483999,31.0,7.929889298889999,12.0,5.0,2018-11-01,35.4838709677,25.8064516129,9.67741935484,9.67741935484,9.67741935484,9.67741935484
132,2018,11,PARIS LYON,GENEVE,192.774779541,191.0,2.0,30.0,19.0055555556,2.70202821869,26.0,44.5346153846,6.79223985891,0.28,0.12,0.32,0.24,0.04,0.0,26.0,6.79223985891,12.0,5.0,2018-11-01,28.000000000000004,12.0,32.0,24.0,4.0,0.0
133,2018,10,PARIS EST,NANCY,95.2536231884,279.0,3.0,40.0,14.7204166667,2.03025362319,16.0,23.7302083333,2.33556763285,0.1875,0.25,0.1875,0.3125,0.0625,0.0,15.0,2.33556763285,7.0,3.0,2018-10-01,18.75,25.0,18.75,31.25,6.25,0.0
136,2018,10,NICE VILLE,PARIS LYON,345.15189873400004,161.0,3.0,43.0,8.57248062016,2.40601265823,37.0,44.5878378378,11.5143459916,0.2432432432429999,0.297297297297,0.324324324324,0.135135135135,0.0,0.0,37.0,11.5143459916,23.0,5.0,2018-10-01,24.3243243243,29.7297297297,32.4324324324,13.5135135135,0.0,0.0
154,2019,1,MONTPELLIER,PARIS LYON,209.366013072,309.0,3.0,111.0,10.3512012012,3.81497821351,32.0,42.3052083333,4.23807189542,0.59375,0.1875,0.0625,0.125,0.03125,0.0,32.0,4.23807189542,19.0,5.0,2019-01-01,59.375,18.75,6.25,12.5,3.125,0.0
155,2018,12,PARIS MONTPARNASSE,ANGOULEME,127.097378277,270.0,3.0,33.0,14.8515151515,1.50081148564,38.0,25.0100877193,4.57184769039,0.131578947368,0.210526315789,0.289473684211,0.289473684211,0.0263157894737,0.0526315789474,19.0,4.57184769039,10.0,3.0,2018-12-01,13.1578947368,21.0526315789,28.9473684211,28.9473684211,2.63157894737,5.26315789474
156,2019,1,PARIS LYON,ZURICH,242.421555556,150.0,0.0,22.0,12.678030303,1.46755555556,23.0,49.3760869565,9.75511111111,0.428571428571,0.333333333333,0.047619047619,0.190476190476,0.0,0.0,23.0,9.75511111111,14.0,4.0,2019-01-01,42.8571428571,33.333333333300004,4.7619047619,19.0476190476,0.0,0.0
157,2018,12,METZ,PARIS EST,85.6151202749,294.0,3.0,146.0,8.63847031963,4.40269186712,79.0,25.352320675100003,7.41025200458,0.175675675676,0.121621621622,0.351351351351,0.283783783784,0.027027027027,0.0405405405405,32.0,7.41025200458,17.0,8.0,2018-12-01,17.5675675676,12.1621621622,35.1351351351,28.3783783784,2.7027027027,4.05405405405
158,2018,12,VANNES,PARIS MONTPARNASSE,155.453531599,270.0,1.0,100.0,4.17,1.5501858736099998,41.0,25.1219512195,6.11158612144,0.243902439024,0.317073170732,0.219512195122,0.170731707317,0.0243902439024,0.0243902439024,20.0,6.11158612144,8.0,4.0,2018-12-01,24.3902439024,31.7073170732,21.9512195122,17.0731707317,2.43902439024,2.43902439024
161,2019,5,VANNES,PARIS MONTPARNASSE,155.21875,269.0,13.0,164.0,5.55081300813,3.55598958333,17.0,31.6029411765,2.977734375,0.4,0.266666666667,0.133333333333,0.0666666666666999,0.0666666666666999,0.0666666666666999,6.0,68.0388888889,3.0,2.0,2019-05-01,40.0,26.6666666667,13.3333333333,6.666666666669999,6.666666666669999,6.666666666669999
164,2019,6,PARIS LYON,ANNECY,224.21088435400003,147.0,0.0,42.0,7.881349206349999,1.90725623583,13.0,44.0,6.16326530612,0.153846153846,0.307692307692,0.153846153846,0.307692307692,0.0769230769231,0.0,13.0,44.0,5.0,5.0,2019-06-01,15.3846153846,30.7692307692,15.3846153846,30.7692307692,7.692307692310001,0.0
167,2019,5,PARIS LYON,GRENOBLE,186.197309417,223.0,0.0,62.0,7.65107526882,1.7086696562,23.0,43.4347826087,6.2802690583,0.304347826087,0.217391304348,0.130434782609,0.260869565217,0.0869565217391,0.0,23.0,43.4347826087,10.0,5.0,2019-05-01,30.4347826087,21.7391304348,13.0434782609,26.0869565217,8.69565217391,0.0
168,2019,5,PARIS LYON,LAUSANNE,203.625,144.0,0.0,31.0,2.44086021505,0.0828703703704,21.0,27.0452380952,6.198726851849999,0.238095238095,0.285714285714,0.333333333333,0.047619047619,0.0952380952381,0.0,20.0,27.8058333333,6.0,0.0,2019-05-01,23.8095238095,28.5714285714,33.333333333300004,4.7619047619,9.523809523810002,0.0
170,2018,9,PARIS LYON,TOULON,237.42145593900003,266.0,5.0,60.0,13.058333333299998,2.74604086845,39.0,39.158974359,5.549425287359999,0.289473684211,0.157894736842,0.105263157895,0.342105263158,0.0263157894737,0.0789473684211,39.0,5.549425287359999,21.0,7.0,2018-09-01,28.9473684211,15.7894736842,10.5263157895,34.2105263158,2.63157894737,7.894736842109999
172,2018,9,PARIS EST,STUTTGART,182.932528736,146.0,1.0,28.0,9.18035714286,1.7595402298899998,11.0,37.8060606061,6.11666666667,0.2,0.1,0.2,0.5,0.0,0.0,11.0,6.11666666667,4.0,2.0,2018-09-01,20.0,10.0,20.0,50.0,0.0,0.0
175,2018,9,PARIS LYON,NICE VILLE,348.606796117,208.0,2.0,53.0,11.6402515723,2.74571197411,31.0,36.7016129032,7.56610032362,0.322580645161,0.193548387097,0.129032258065,0.290322580645,0.0322580645161,0.0322580645161,31.0,7.56610032362,14.0,5.0,2018-09-01,32.2580645161,19.3548387097,12.903225806499998,29.0322580645,3.22580645161,3.22580645161
178,2018,11,BESANCON FRANCHE COMTE TGV,PARIS LYON,131.466666667,197.0,2.0,32.0,16.1979166667,2.37341880342,21.0,56.1349206349,6.19735042735,0.4761904761899999,0.333333333333,0.0952380952381,0.047619047619,0.047619047619,0.0,19.0,6.19735042735,11.0,6.0,2018-11-01,47.61904761899999,33.333333333300004,9.523809523810002,4.7619047619,4.7619047619,0.0
179,2018,10,PARIS MONTPARNASSE,LAVAL,90.8706467662,201.0,0.0,26.0,5.23269230769,0.316749585406,17.0,14.1588235294,2.9,0.153846153846,0.230769230769,0.230769230769,0.307692307692,0.0769230769231,0.0,6.0,2.9,1.0,0.0,2018-10-01,15.3846153846,23.0769230769,23.0769230769,30.7692307692,7.692307692310001,0.0
181,2018,10,LAUSANNE,PARIS LYON,222.698452381,140.0,0.0,102.0,3.68921568627,2.77738095238,9.0,53.1462962963,3.88380952381,0.111111111111,0.444444444444,0.333333333333,0.111111111111,0.0,0.0,9.0,3.88380952381,5.0,4.0,2018-10-01,11.1111111111,44.4444444444,33.333333333300004,11.1111111111,0.0,0.0
186,2018,12,MARSEILLE ST CHARLES,PARIS LYON,201.332613391,466.0,3.0,149.0,8.19541387025,2.51879049676,44.0,37.6390151515,4.505687545,0.272727272727,0.1363636363639999,0.1363636363639999,0.318181818182,0.0909090909091,0.0454545454545,44.0,4.505687545,20.0,3.0,2018-12-01,27.2727272727,13.6363636364,13.6363636364,31.818181818200003,9.09090909091,4.54545454545
